Hamilton standard 3 blades AF140 CLi0.500;;;;
theta;J;ct;cp;eff
30;1.313446328;0.086365294;0.128904748;0.88
30;1.392768362;0.066559888;0.106554605;0.87
30;1.41039548;0.06101413;0.100062852;0.86
30;1.422146893;0.057219662;0.095735017;0.85
30;1.48;0.040540541;0.075;0.8
30;1.51;0.034768212;0.07;0.75
30;1.53;0.030882353;0.0675;0.7
30;1.54;0.02637987;0.0625;0.65
35;0;0.252149417;0.360213452;0
35;0.229378531;0.232709131;0.355856524;0.15
35;0.302824859;0.235528703;0.356619731;0.2
35;0.37480226;0.237416748;0.355937334;0.25
35;0.443841808;0.240121569;0.355253304;0.3
35;0.509943503;0.242366062;0.353122854;0.35
35;0.581920904;0.241266925;0.350995668;0.4
35;0.637740113;0.245651318;0.348137109;0.45
35;0.697966102;0.246830472;0.344558605;0.5
35;0.75819209;0.246302255;0.339535312;0.55
35;0.821355932;0.243834307;0.333791258;0.6
35;0.896271186;0.236865602;0.326608945;0.65
35;0.972655367;0.227805776;0.316537872;0.7
35;1.072542373;0.211282207;0.302145493;0.75
35;1.190056497;0.187617432;0.279094179;0.8
35;1.260564972;0.173228292;0.264685476;0.825
35;1.357514124;0.153100038;0.244512311;0.85
35;1.401581921;0.142953829;0.232978491;0.86
35;1.445649718;0.132397147;0.219999883;0.87
35;1.501468927;0.117103589;0.199803863;0.88
35;1.607231638;0.089872136;0.162298135;0.89
35;1.683615819;0.070504712;0.1348896;0.88
35;1.704180791;0.064442751;0.126232297;0.87
35;1.72180791;0.060168226;0.120462939;0.86
35;1.739435028;0.055340654;0.113248792;0.85
35;1.789378531;0.040954875;0.091604718;0.8
35;1.812881356;0.034316524;0.082949048;0.75
35;1.829039548;0.029813946;0.077901267;0.7
35;1.84519774;0.02515484;0.071408698;0.65
40;0;0.24992846;0.430911138;0
40;0.235254237;0.223244053;0.420152875;0.125
40;0.276384181;0.228038954;0.42017573;0.15
40;0.364519774;0.230563462;0.420224706;0.2
40;0.45559322;0.232205437;0.423164891;0.25
40;0.543728814;0.235897871;0.427548232;0.3
40;0.628926554;0.241174672;0.43337473;0.35
40;0.72;0.241594515;0.434870126;0.4
40;0.787570621;0.248496387;0.434907675;0.45
40;0.861016949;0.251739353;0.433503699;0.5
40;0.931525424;0.254270373;0.430653303;0.55
40;1.007909605;0.254669369;0.427806172;0.6
40;1.084293785;0.253017361;0.422069464;0.65
40;1.175367232;0.245374024;0.412006553;0.7
40;1.292881356;0.228566216;0.394011999;0.75
40;1.416271186;0.209952076;0.371686344;0.8
40;1.601355932;0.172038267;0.324111175;0.85
40;1.654237288;0.161753227;0.311137465;0.86
40;1.707118644;0.150480774;0.295274177;0.87
40;1.777627119;0.134748807;0.272196743;0.88
40;1.874576271;0.112794753;0.237575694;0.89
40;1.97740113;0.088747341;0.197178756;0.89
40;2.036158192;0.075241412;0.174094792;0.88
40;2.06259887;0.069782573;0.165440754;0.87
40;2.080225989;0.06481621;0.156781818;0.86
40;2.103728814;0.058682034;0.145236571;0.85
40;2.165423729;0.044061459;0.119264662;0.8
40;2.188926554;0.037403335;0.109164203;0.75
40;2.215367232;0.030845636;0.097620589;0.7
40;2.238870056;0.025828742;0.088964918;0.65
45;1.548474576;0.243740952;0.503235556;0.75
45;1.685084746;0.226602385;0.477305277;0.8
45;1.909830508;0.189338851;0.425417782;0.85
45;1.974463277;0.177130387;0.406671448;0.86
45;2.047909605;0.163574201;0.385040434;0.87
45;2.141920904;0.146342135;0.356196906;0.88
45;2.294689266;0.115770068;0.29849026;0.89
45;2.429830508;0.086153389;0.237884242;0.88
45;2.465084746;0.078864094;0.223455948;0.87
45;2.488587571;0.073730868;0.213355489;0.86
45;2.503276836;0.06950517;0.204694921;0.85
45;2.573785311;0.053757011;0.172948756;0.8
45;2.606101695;0.044787945;0.155629253;0.75
45;2.635480226;0.037502989;0.141197693;0.7
45;2.658983051;0.032047291;0.131097235;0.65
50;2.086101695;0.235905495;0.607559077;0.81
50;2.306440678;0.203717627;0.552779556;0.85
50;2.394576271;0.189724477;0.528267128;0.86
50;2.485649718;0.174802229;0.499421968;0.87
50;2.623728814;0.151540889;0.451820678;0.88
50;2.80440678;0.119821055;0.381848839;0.88
50;2.896949153;0.102758678;0.342168582;0.87
50;2.938079096;0.094664538;0.323409188;0.86
50;2.97039548;0.088416635;0.308979261;0.85
