,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],name,gamma [rad],alpha [deg],CL_wing [-],CL_htp [-],battery_power [W],motor_input_power [W],powertrain_power_input [W],l_d_ratio,CD_tot,CD0,CD0_flaps,CD_ind_wing,CD_ind_htp,cd_delta_e,rpm [rpm],shaft_power [W]
47,188.0,892.6281751146971,9279.844314142343,1435.9726081477654,50.66915768840286,48.52275030471573,0.15041972756765778,2,1.2064062972462484,,,2275.382751265377,1.0,False,,sizing:main_route:climb,0.09398090480094333,8.128918687240676,1.038685162643268,0.16772113460298033,155992.07405974634,12484.565660581698,,14.866295428131444,0.0819954656960824,0.03419019813706738,0.0,0.04182304765957874,0.0059269832406174,5.5236658818883506e-05,4030.2626981578974,11739.749136564664
48,192.0,911.6478810689116,9481.626541900516,1435.9726081477654,50.71607183964526,48.5224361884383,0.1505919724458949,2,1.2064255209537582,,,2275.1710111415478,1.0,False,,sizing:main_route:climb,0.0939663554569504,8.129128416065711,1.0387006993066217,0.16772482164713645,156003.21907998357,12485.45763370135,,14.866373314452904,0.08199592761512063,0.03419019813706738,0.0,0.04182317666096914,0.00592731417749506,5.523863958902787e-05,4033.905541750866,11739.744222282097
49,196.0,930.682258691225,9683.595875102455,1435.9726081477654,50.763085526152004,48.52212097789327,0.15076462111783606,2,1.2064448413783184,,,2274.956950671758,1.0,False,,sizing:main_route:climb,0.0939516490104257,8.129339630343637,1.0387163096063274,0.16772853177199104,156014.39386569956,12486.351989051487,,14.866452585004248,0.08199638422582102,0.03419019813706738,0.0,0.04182329809353028,0.005927647351709898,5.524064351346171e-05,4037.5550587925154,11739.73943553083
50,200.0,949.7313081328508,9885.752713595584,1435.9726081477654,50.81019900594847,48.52180466844324,0.15093767474989153,2,1.2064642587909684,,,2274.740567661653,1.0,False,,sizing:main_route:climb,0.09393678531155313,8.129552332944058,1.0387319937653408,0.16773226502562769,156025.5985840731,12487.248740011984,,14.866533241142175,0.08199683553596622,0.03419019813706738,0.0,0.041823411960676224,0.0059279827675701065,5.524267065253216e-05,4041.211265508917,11739.734783131258
51,204.0,968.7950295056276,10088.097458266175,1435.9726081477654,50.85741253782663,48.521487255428156,0.15111113451237312,2,1.2064837734567817,,,2274.521859930909,1.0,False,,sizing:main_route:climb,0.0939217642139716,8.129766526706671,1.0387477520038328,0.16773602145294866,156036.83340376144,12488.14790008104,,14.866615284777875,0.0819972815529613,0.03419019813706738,0.0,0.04182351826566194,0.005928320429150981,5.524472108101733e-05,4044.874178179045,11739.730271997754
52,208.0,987.8734228824527,10290.630511042362,1435.9726081477654,50.904726381349455,48.521168734165705,0.1512850015795152,2,1.2065033856456138,,,2274.3008253132675,1.0,False,,sizing:main_route:climb,0.0939065855699603,8.129982214472264,1.0387635845425245,0.16773980110308956,156048.09849490516,12489.049482875576,,14.866698717302933,0.0819977222845856,0.03419019813706738,0.0,0.04182361701184392,0.005928660340823491,5.524679485081354e-05,4048.543813135088,11739.72590913892
53,212.0,1006.9664882967501,10493.352274897272,1435.9726081477654,50.95214079685061,48.520849099949636,0.15145927712948035,2,1.2065230956219506,,,2274.0774616566378,1.0,False,,sizing:main_route:climb,0.09389124923466606,8.130199399079029,1.0387794916022997,0.16774360401965085,156059.39402913285,12489.953502131597,,14.866783540530289,0.08199815773833058,0.03419019813706738,0.0,0.04182370820265148,0.005929002506567436,5.524889204429325e-05,4052.22018676253,11739.72170165789
54,216.0,1026.0742257427833,10696.263153852064,1435.9726081477654,50.99965604543842,48.520528348049936,0.1516339623443789,2,1.2065429036585833,,,2273.851766823167,1.0,False,,sizing:main_route:climb,0.0938757550634201,8.130418083385106,1.0387954734066345,0.16774743025194902,156070.72017956653,12490.859971704642,,14.866869756094914,0.08199858792232613,0.03419019813706738,0.0,0.04182379184177667,0.005929346930767138,5.525101271492857e-05,4055.9033155004468,11739.717656752639
55,220.0,1045.1966351754338,10899.363552979044,1435.9726081477654,51.04727238900527,48.52020647371968,0.15180905841030404,2,1.2065628100207575,,,2273.623738689037,1.0,False,,sizing:main_route:climb,0.09386010291234384,8.130638270244727,1.0388115301789942,0.1677512798417636,156082.07712082466,12491.768905569996,,14.866957365591988,0.08199901284426503,0.03419019813706738,0.0,0.04182386793296584,0.005929693617274215,5.5253156957587784e-05,4059.593215841816,11739.713781716071
56,224.0,1064.3337165100972,11102.653878404792,1435.9726081477654,51.09499009021518,48.5198834721806,0.1519845665173018,2,1.2065828149851858,,,2273.393375145017,1.0,False,,sizing:main_route:climb,0.09384429263891446,8.130859962509032,1.0388276621429953,0.1677551528421906,156093.4650290284,12492.680317823235,,14.867046370694457,0.08199943251264867,0.03419019813706738,0.0,0.04182393648004329,0.00593004257073326,5.5255324804722105e-05,4063.289904333421,11739.710083936534
57,228.0,1083.4854696226914,11306.134537313254,1435.9726081477654,51.14280941251861,48.51955933863445,0.15216048785942282,2,1.2066029188195055,,,2273.160674096137,1.0,False,,sizing:main_route:climb,0.09382832410144314,8.13108316302805,1.038843869522564,0.16775904929694166,156104.88408180542,12493.594222680493,,14.867136773041706,0.0819998469354504,0.03419019813706738,0.0,0.0418239974869154,0.005930393795126927,5.525751634068301e-05,4066.9933975763124,11739.70657089791
58,232.0,1102.651894349562,11509.805937948868,1435.9726081477654,51.19073062015399,48.51923406826189,0.1523368236347342,2,1.2066231217942596,,,2272.9256334617708,1.0,False,,sizing:main_route:climb,0.09381219715883084,8.131307874662728,1.0388601525432375,0.16776296925102208,156116.33445829438,12494.510634478833,,14.86722857418389,0.08200025612091455,0.03419019813706738,0.0,0.041824050957673435,0.00593074729452945,5.5259731644255686e-05,4070.703712226001,11739.703250179893
59,236.0,1121.832990487337,11713.668489619731,1435.9726081477654,51.238753978142434,48.51890765621503,0.15251357504531066,2,1.2066434241884885,,,2272.688251175943,1.0,False,,sizing:main_route:climb,0.09379591167225544,8.131534100283009,1.038876511431996,0.1677669127564924,156127.8163391502,12495.429567676652,,14.867321775953279,0.08200066007792174,0.03419019813706738,0.0,0.04182409689658609,0.005931103073511602,5.526197075665895e-05,4074.4208649924813,11739.700129458333
